Logradouro;Intervalo de Datas;Hora;Caminhao grande;Caminhao md/grd;Caminhao peq/md;Caminhao pequeno;Moto;Nao Reconhecido;Oibus grande;Oibus pequeno;Passeio grande;Passeio pequeno
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:00:00 - 00:14:59;0;1;0;0;0;0;0;0;5;32
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:15:00 - 00:29:59;0;0;0;0;0;1;1;0;9;29
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:30:00 - 00:44:59;0;1;0;0;1;1;1;0;13;26
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:45:00 - 00:59:59;0;0;0;0;0;0;0;0;6;21
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:00:00 - 01:14:59;0;0;0;0;0;2;0;0;4;20
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:15:00 - 01:29:59;1;0;0;0;0;0;0;0;11;15
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:30:00 - 01:44:59;0;0;1;0;0;1;0;0;3;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:45:00 - 01:59:59;0;0;0;0;0;0;1;0;5;5
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:00:00 - 02:14:59;0;1;0;0;0;1;0;0;6;7
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:15:00 - 02:29:59;0;0;0;0;0;1;1;0;3;10
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:30:00 - 02:44:59;0;0;0;0;0;1;1;0;3;11
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:45:00 - 02:59:59;0;0;1;0;0;0;0;0;4;6
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:00:00 - 03:14:59;0;1;0;0;0;1;0;0;4;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:15:00 - 03:29:59;1;0;0;0;0;0;2;0;1;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:30:00 - 03:44:59;1;0;0;0;0;2;0;0;3;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:45:00 - 03:59:59;0;0;0;0;0;0;0;0;3;11
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:00:00 - 04:14:59;0;1;1;0;0;0;1;0;6;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:15:00 - 04:29:59;1;0;0;0;2;1;0;0;4;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:30:00 - 04:44:59;1;0;0;0;0;0;1;0;9;22
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:45:00 - 04:59:59;1;0;0;0;0;0;2;0;8;27
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:00:00 - 05:14:59;1;3;0;0;2;0;1;0;13;45
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:15:00 - 05:29:59;0;0;1;0;0;1;2;0;13;44
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:30:00 - 05:44:59;1;1;0;0;0;1;0;0;8;37
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:45:00 - 05:59:59;1;0;0;0;2;5;2;0;11;96
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;06:00:00 - 06:14:59;0;1;2;0;1;3;3;0;26;203
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;06:15:00 - 06:29:59;0;2;2;0;3;6;1;0;25;345
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;06:30:00 - 06:44:59;0;2;1;0;2;5;1;0;16;450
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;06:45:00 - 06:59:59;0;1;2;0;2;5;2;0;15;263
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;07:00:00 - 07:14:59;0;1;0;0;1;2;0;0;7;97
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;07:15:00 - 07:29:59;0;3;2;0;6;10;0;0;17;349
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;07:30:00 - 07:44:59;0;3;2;0;6;2;0;0;12;344
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;07:45:00 - 07:59:59;0;3;3;0;15;5;1;0;18;434
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;08:00:00 - 08:14:59;0;4;8;0;4;7;2;0;26;349
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;08:15:00 - 08:29:59;1;3;5;0;3;8;1;0;14;363
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;08:30:00 - 08:44:59;1;3;6;0;7;6;1;0;30;354
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;08:45:00 - 08:59:59;0;5;3;0;7;8;2;0;32;330
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;09:00:00 - 09:14:59;2;6;4;0;6;10;1;0;22;370
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;09:15:00 - 09:29:59;2;5;5;0;4;10;2;0;31;347
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;09:30:00 - 09:44:59;0;3;5;0;7;3;0;0;24;361
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;09:45:00 - 09:59:59;1;4;4;0;6;8;1;0;35;327
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;10:00:00 - 10:14:59;2;5;4;0;7;3;1;0;29;318
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;10:15:00 - 10:29:59;2;2;5;0;4;5;2;0;20;199
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;10:30:00 - 10:44:59;2;3;1;0;2;7;0;0;10;245
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;10:45:00 - 10:59:59;0;3;8;0;7;6;0;0;29;284
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;11:00:00 - 11:14:59;1;3;9;0;4;6;4;0;29;316
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;11:15:00 - 11:29:59;0;4;6;0;6;9;1;0;31;260
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;11:30:00 - 11:44:59;2;7;5;0;4;7;0;0;22;334
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;11:45:00 - 11:59:59;1;7;6;0;10;6;2;0;35;312
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;12:00:00 - 12:14:59;0;2;3;0;5;6;3;0;26;312
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;12:15:00 - 12:29:59;0;5;4;0;4;11;0;0;28;288
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;12:30:00 - 12:44:59;1;4;0;0;3;10;3;0;34;325
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;12:45:00 - 12:59:59;1;4;5;0;4;9;1;0;27;316
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;13:00:00 - 13:14:59;0;4;3;0;3;8;1;0;34;323
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;13:15:00 - 13:29:59;2;4;6;0;9;6;3;0;25;259
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;13:30:00 - 13:44:59;0;5;5;0;12;5;1;0;17;372
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;13:45:00 - 13:59:59;0;6;7;0;9;5;2;0;20;325
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;14:00:00 - 14:14:59;0;5;5;0;12;13;0;0;21;333
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;14:15:00 - 14:29:59;1;4;5;0;6;11;1;0;27;316
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;14:30:00 - 14:44:59;2;2;6;0;7;15;3;0;21;299
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;14:45:00 - 14:59:59;4;5;4;0;3;5;1;0;32;274
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;16:00:00 - 16:14:59;0;4;5;0;6;4;0;0;19;236
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;16:15:00 - 16:29:59;1;3;5;0;11;3;0;0;15;370
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;16:30:00 - 16:44:59;0;2;7;0;11;9;2;0;21;284
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;16:45:00 - 16:59:59;1;2;5;0;3;7;1;0;16;326
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;17:00:00 - 17:14:59;0;5;4;0;7;5;0;0;12;336
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;17:15:00 - 17:29:59;0;5;9;0;4;8;1;0;8;346
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;17:30:00 - 17:44:59;0;1;3;0;5;4;1;0;7;334
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;17:45:00 - 17:59:59;0;5;4;0;9;3;1;0;14;367
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;18:00:00 - 18:14:59;0;2;2;0;8;5;0;0;11;333
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;18:15:00 - 18:29:59;0;1;0;0;23;2;2;0;4;351
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;18:30:00 - 18:44:59;1;2;0;0;8;6;1;0;7;349
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;18:45:00 - 18:59:59;1;3;2;0;15;7;2;0;3;324
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;19:00:00 - 19:14:59;2;2;6;0;12;4;3;0;6;307
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;19:15:00 - 19:29:59;2;2;1;0;15;1;1;0;8;264
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;19:30:00 - 19:44:59;0;2;2;0;19;3;1;0;8;232
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;19:45:00 - 19:59:59;3;1;5;0;28;3;2;0;5;238
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;20:00:00 - 20:14:59;0;0;2;0;36;1;2;0;2;218
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;20:15:00 - 20:29:59;0;0;2;0;27;5;0;0;4;213
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;20:30:00 - 20:44:59;2;2;3;0;39;1;0;0;4;178
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;20:45:00 - 20:59:59;1;0;2;0;9;3;2;0;4;143
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;21:00:00 - 21:14:59;1;1;2;0;18;3;0;0;2;193
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;21:15:00 - 21:29:59;4;2;2;0;17;5;2;0;3;181
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;21:30:00 - 21:44:59;0;0;1;0;16;4;0;0;1;162
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;21:45:00 - 21:59:59;4;2;2;0;39;6;1;0;3;228
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;22:00:00 - 22:14:59;1;2;1;0;16;3;1;0;4;252
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;22:15:00 - 22:29:59;0;1;5;0;15;3;1;0;10;291
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;22:30:00 - 22:44:59;1;2;2;0;10;2;2;0;4;176
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;22:45:00 - 22:59:59;2;4;1;0;3;3;1;0;6;130
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;23:00:00 - 23:14:59;0;0;1;0;4;2;2;0;7;88
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;23:15:00 - 23:29:59;0;1;1;0;2;1;0;0;11;66
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;23:30:00 - 23:44:59;0;3;0;0;0;2;1;0;9;75
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;23:45:00 - 23:59:59;0;0;0;0;0;0;0;0;12;39
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;00:00:00 - 00:14:59;0;0;1;0;0;1;1;0;11;33
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;00:15:00 - 00:29:59;0;0;0;0;2;1;1;0;3;22
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;00:30:00 - 00:44:59;0;0;0;0;1;1;0;0;6;23
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;00:45:00 - 00:59:59;0;1;0;0;0;1;1;0;2;20
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;01:00:00 - 01:14:59;0;2;0;0;0;2;1;0;5;7
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;01:15:00 - 01:29:59;0;1;0;0;0;0;0;0;3;11
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;01:30:00 - 01:44:59;0;0;0;0;1;0;0;0;5;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;01:45:00 - 01:59:59;0;1;0;0;0;0;0;0;6;4
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;02:00:00 - 02:14:59;0;2;0;0;0;0;1;0;1;6
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;02:15:00 - 02:29:59;0;0;0;0;0;0;0;0;1;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;02:30:00 - 02:44:59;0;1;0;0;0;0;0;0;4;13
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;02:45:00 - 02:59:59;0;1;0;0;0;0;0;0;2;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;03:00:00 - 03:14:59;0;0;0;0;0;0;0;0;3;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;03:15:00 - 03:29:59;1;0;0;0;0;0;0;0;0;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;03:30:00 - 03:44:59;1;0;0;0;0;0;1;0;5;4
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;03:45:00 - 03:59:59;0;0;0;0;2;0;1;0;3;10
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;04:00:00 - 04:14:59;2;0;0;0;0;1;1;0;4;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;04:15:00 - 04:29:59;1;1;0;0;0;0;0;0;3;13
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;04:30:00 - 04:44:59;0;0;1;0;0;0;0;0;3;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;04:45:00 - 04:59:59;1;0;0;0;0;0;2;0;3;13
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;05:00:00 - 05:14:59;0;1;0;0;0;1;1;0;15;37
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;05:15:00 - 05:29:59;0;2;0;0;1;3;1;0;19;51
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;05:30:00 - 05:44:59;1;3;1;0;2;2;3;0;14;94
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;05:45:00 - 05:59:59;3;1;1;0;2;0;2;0;21;166
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;06:00:00 - 06:14:59;0;2;4;0;1;0;4;0;15;234
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;06:15:00 - 06:29:59;1;0;1;0;1;4;1;0;17;376
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;06:30:00 - 06:44:59;1;3;3;0;3;1;3;0;11;425
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;06:45:00 - 06:59:59;1;0;2;0;5;5;0;0;11;423
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;07:00:00 - 07:14:59;0;4;3;0;8;7;0;0;12;425
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;07:15:00 - 07:29:59;0;1;3;0;5;7;1;0;10;410
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;07:30:00 - 07:44:59;0;6;1;0;8;8;3;0;4;395
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;07:45:00 - 07:59:59;1;2;4;0;10;10;0;0;15;384
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;08:00:00 - 08:14:59;1;6;4;0;5;4;1;0;12;388
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;08:15:00 - 08:29:59;1;5;3;0;13;5;3;0;10;383
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;08:30:00 - 08:44:59;2;7;4;0;5;5;0;0;20;337
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;08:45:00 - 08:59:59;1;7;5;0;8;5;1;0;26;338
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;09:00:00 - 09:14:59;1;8;7;0;5;11;0;0;21;299
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;09:15:00 - 09:29:59;0;9;6;0;8;3;1;0;18;379
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;09:30:00 - 09:44:59;2;4;6;0;10;5;2;0;14;290
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;09:45:00 - 09:59:59;1;4;3;0;7;8;0;0;28;349
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;10:00:00 - 10:14:59;2;4;4;0;4;11;0;0;17;283
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;10:15:00 - 10:29:59;1;9;5;0;7;14;2;0;20;307
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;10:30:00 - 10:44:59;0;3;6;0;11;7;3;0;19;305
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;10:45:00 - 10:59:59;0;6;6;0;5;5;3;0;23;286
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;11:00:00 - 11:14:59;3;6;5;0;5;8;0;0;23;279
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;11:15:00 - 11:29:59;0;11;5;0;2;17;3;0;23;302
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;11:30:00 - 11:44:59;1;3;4;0;9;8;0;0;23;323
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;11:45:00 - 11:59:59;1;7;2;0;7;11;1;0;34;334
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;12:00:00 - 12:14:59;0;5;5;0;7;8;1;0;22;328
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;12:15:00 - 12:29:59;1;3;5;0;10;12;1;0;25;329
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;12:30:00 - 12:44:59;1;3;1;0;5;9;4;0;34;345
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;12:45:00 - 12:59:59;1;1;2;0;4;6;2;0;21;344
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;13:00:00 - 13:14:59;0;3;3;0;2;5;1;0;29;316
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;13:15:00 - 13:29:59;2;3;7;0;7;12;3;0;22;327
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;13:30:00 - 13:44:59;1;6;3;0;7;8;0;0;24;375
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;13:45:00 - 13:59:59;1;3;7;0;4;8;1;0;32;309
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;14:00:00 - 14:14:59;1;5;3;0;6;11;0;0;37;291
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;14:15:00 - 14:29:59;0;7;7;0;7;6;0;0;20;371
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;14:30:00 - 14:44:59;0;6;5;0;5;11;2;0;24;314
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;14:45:00 - 14:59:59;1;8;4;0;6;14;1;0;20;330
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;15:00:00 - 15:14:59;0;6;5;0;6;4;1;0;29;288
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;15:15:00 - 15:29:59;4;9;4;0;7;8;1;0;25;305
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;15:30:00 - 15:44:59;2;10;4;0;9;10;1;0;15;317
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;15:45:00 - 15:59:59;0;3;5;0;5;12;0;0;24;269
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;16:00:00 - 16:14:59;1;7;6;0;8;7;0;0;14;306
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;16:15:00 - 16:29:59;2;3;3;0;7;4;1;0;16;331
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;16:30:00 - 16:44:59;1;6;3;0;10;11;1;0;13;328
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;16:45:00 - 16:59:59;0;2;7;0;5;7;0;0;25;297
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;17:00:00 - 17:14:59;1;4;2;0;10;9;3;0;14;348
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;17:15:00 - 17:29:59;2;1;2;0;6;9;10;0;16;333
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;17:30:00 - 17:44:59;0;1;2;0;9;6;2;0;15;351
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;17:45:00 - 17:59:59;2;1;5;0;6;5;2;0;13;337
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;18:00:00 - 18:14:59;0;3;1;0;6;7;6;0;22;358
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;18:15:00 - 18:29:59;2;0;2;0;9;10;5;0;18;299
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;18:30:00 - 18:44:59;0;0;3;0;1;9;1;0;15;346
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;18:45:00 - 18:59:59;0;4;1;0;8;3;2;0;9;285
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;20:00:00 - 20:14:59;0;1;2;0;2;4;2;0;7;144
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;20:15:00 - 20:29:59;1;1;1;0;2;2;0;0;13;204
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;20:30:00 - 20:44:59;1;0;0;0;1;5;0;0;6;207
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;20:45:00 - 20:59:59;1;0;3;0;4;3;2;0;12;197
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;21:00:00 - 21:14:59;0;0;1;0;4;3;1;0;16;193
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;21:15:00 - 21:29:59;0;0;0;0;1;5;3;0;12;219
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;21:30:00 - 21:44:59;0;1;1;0;5;1;3;0;9;209
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;21:45:00 - 21:59:59;2;0;2;0;3;2;1;0;15;187
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;22:00:00 - 22:14:59;0;1;1;0;1;4;0;0;13;203
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;22:15:00 - 22:29:59;1;1;0;0;1;2;0;0;11;160
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;22:30:00 - 22:44:59;0;1;0;0;1;0;1;0;8;125
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;9/6/2015;22:45:00 - 22:59:59;0;2;0;0;2;2;1;0;11;97
