#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.88 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,ERS-2,GFO,Jason-1,Envisat,Jason-2
2011.2571,,,,,,19.51000
2011.2705,,,,18.91000,,
2011.2843,,,,,,18.51000
2011.2978,,,,19.01000,,
2011.3115,,,,,,19.91000
2011.3250,,,,18.01000,,
2011.3386,,,,,,18.01000
2011.3521,,,,17.81000,,
2011.3657,,,,,,20.51000
2011.3793,,,,18.11000,,
2011.3929,,,,,,20.81000
2011.4064,,,,19.81000,,
2011.4200,,,,,,20.21000
2011.4336,,,,19.21000,,
2011.4471,,,,,,21.31000
2011.4607,,,,22.11000,,
2011.4743,,,,,,24.01000
2011.4879,,,,22.41000,,
2011.5014,,,,,,21.61000
2011.5151,,,,19.71000,,
2011.5286,,,,,,23.01000
2011.5421,,,,19.41000,,
2011.5558,,,,,,23.41000
2011.5693,,,,22.81000,,
2011.5830,,,,,,23.71000
2011.5965,,,,25.51000,,
2011.6100,,,,,,28.41000
2011.6236,,,,25.71000,,
2011.6372,,,,,,30.61000
2011.6508,,,,30.71000,,
2011.6644,,,,,,30.51000
2011.6778,,,,31.11000,,
2011.6916,,,,,,31.01000
2011.7051,,,,28.31000,,
2011.7187,,,,,,31.31000
2011.7319,,,,30.21000,,
2011.7459,,,,,,33.41000
2011.7591,,,,34.11000,,
2011.7730,,,,,,36.11000
2011.7867,,,,37.41000,,
2011.8002,,,,,,38.41000
2011.8137,,,,33.61000,,
2011.8273,,,,,,35.91000
2011.8408,,,,34.21000,,
2011.8544,,,,,,34.51000
2011.8680,,,,30.71000,,
2011.8816,,,,,,33.21000
2011.8952,,,,33.81000,,
2011.9087,,,,,,35.31000
2011.9220,,,,33.61000,,
2011.9358,,,,,,35.11000
2011.9495,,,,32.01000,,
2011.9631,,,,,,33.31000
2011.9765,,,,34.81000,,
2011.9902,,,,,,33.91000
2012.0037,,,,32.41000,,
2012.0173,,,,,,36.21000
2012.0309,,,,30.51000,,
2012.0445,,,,,,33.61000
2012.0580,,,,31.41000,,
2012.0716,,,,,,33.51000
2012.0849,,,,31.21000,,
2012.0987,,,,,,30.61000
2012.1119,,,,29.01000,,
2012.1258,,,,,,31.81000
2012.1270,,,,29.71000,,
2012.1531,,,,,,30.11000
2012.1672,,,,28.01000,,
2012.1802,,,,,,27.41000
2012.2073,,,,,,29.31000
2012.2345,,,,,,32.11000
2012.2616,,,,,,28.51000
2012.2888,,,,,,28.71000
2012.3159,,,,,,30.01000
2012.3430,,,,,,29.61000
2012.3645,,,,32.41000,,
2012.3702,,,,,,31.51000
2012.3944,,,,29.11000,,
2012.3973,,,,,,28.91000
2012.4242,,,,31.21000,,
2012.4245,,,,,,29.11000
2012.4517,,,,,,34.01000
2012.4540,,,,35.21000,,
2012.4745,,,,31.01000,,
2012.4788,,,,,,31.01000
2012.4949,,,,33.01000,,
2012.5060,,,,,,32.01000
2012.5247,,,,34.31000,,
2012.5331,,,,,,36.71000
2012.5546,,,,37.21000,,
2012.5603,,,,,,37.11000
2012.5844,,,,36.51000,,
2012.5874,,,,,,36.81000
2012.6048,,,,41.31000,,
2012.6145,,,,,,38.71000
2012.6252,,,,36.91000,,
2012.6417,,,,,,35.81000
2012.6552,,,,38.61000,,
2012.6688,,,,,,40.21000
2012.6849,,,,40.61000,,
2012.6961,,,,,,39.81000
2012.7147,,,,42.11000,,
2012.7232,,,,,,43.91000
2012.7350,,,,41.21000,,
2012.7503,,,,,,44.61000
2012.7555,,,,45.81000,,
2012.7775,,,,,,46.51000
2012.7852,,,,45.91000,,
2012.8046,,,,,,46.11000
2012.8151,,,,45.81000,,
2012.8318,,,,,,46.31000
2012.8355,,,,48.91000,,
2012.8559,,,,47.61000,,
2012.8589,,,,,,44.51000
2012.8858,,,,46.61000,,
2012.8861,,,,,,44.71000
2012.9132,,,,,,44.51000
2012.9156,,,,45.11000,,
2012.9404,,,,,,45.41000
2012.9454,,,,44.01000,,
2012.9658,,,,39.91000,,
2012.9675,,,,,,42.41000
2012.9862,,,,42.21000,,
2012.9946,,,,,,43.51000
2013.0162,,,,41.91000,,
2013.0218,,,,,,40.51000
2013.0459,,,,38.61000,,
2013.0489,,,,,,39.31000
2013.0758,,,,41.21000,,
2013.0761,,,,,,39.51000
2013.0961,,,,39.11000,,
2013.1031,,,,,,38.71000
2013.1167,,,,39.11000,,
2013.1304,,,,,,37.21000
2013.1464,,,,37.71000,,
2013.1575,,,,,,36.91000
2013.1846,,,,,,37.81000
2013.2118,,,,,,37.91000
2013.2196,,,,34.81000,,
2013.2265,,,,35.21000,,
2013.2469,,,,36.81000,,
2013.2765,,,,34.41000,,
2013.2933,,,,,,35.01000
2013.3066,,,,30.01000,,
2013.3204,,,,,,36.51000
2013.3269,,,,31.51000,,
2013.3473,,,,37.51000,,
2013.3475,,,,,,36.51000
2013.3747,,,,,,33.31000
2013.3771,,,,36.31000,,
2013.4018,,,,,,32.31000
2013.4070,,,,34.61000,,
2013.4290,,,,,,34.01000
2013.4368,,,,32.31000,,
2013.4561,,,,,,31.71000
2013.4572,,,,27.01000,,
2013.4833,,,,,,33.21000
2013.5104,,,,,,34.21000
2013.5376,,,,,,33.71000
2013.5648,,,,,,36.21000
2013.5919,,,,,,38.81000
2013.6190,,,,,,34.91000
2013.6462,,,,,,37.21000
2013.6696,,,,,,41.01000
2013.7071,,,,,,38.01000
2013.7276,,,,,,41.41000
2013.7548,,,,,,42.41000
2013.7819,,,,,,44.21000
2013.8091,,,,,,48.51000
2013.8362,,,,,,47.01000
2013.8634,,,,,,44.41000
2013.8905,,,,,,45.81000
2013.9177,,,,,,44.01000
2013.9448,,,,,,40.81000
2013.9720,,,,,,42.01000
2013.9992,,,,,,41.51000
2014.0263,,,,,,39.91000
2014.0534,,,,,,38.51000
2014.0806,,,,,,36.01000
2014.1077,,,,,,39.41000
2014.1349,,,,,,39.31000
2014.1620,,,,,,37.61000
2014.1891,,,,,,38.61000
2014.2163,,,,,,36.91000
2014.2435,,,,,,37.01000
2014.2705,,,,,,37.41000
2014.2978,,,,,,35.41000
2014.3249,,,,,,34.51000
2014.3520,,,,,,33.51000
2014.3791,,,,,,33.01000
2014.4063,,,,,,35.81000
2014.4334,,,,,,34.41000
2014.4606,,,,,,35.31000
2014.4878,,,,,,38.41000
2014.5149,,,,,,39.41000
2014.5421,,,,,,40.11000
2014.5692,,,,,,39.21000
2014.5964,,,,,,42.21000
2014.6235,,,,,,44.11000
2014.6507,,,,,,45.21000
2014.6777,,,,,,45.51000
2014.7050,,,,,,47.71000
2014.7321,,,,,,45.21000
2014.7593,,,,,,48.41000
2014.7864,,,,,,54.01000
2014.8136,,,,,,51.41000
2014.8407,,,,,,47.41000
2014.8679,,,,,,49.51000
2014.8950,,,,,,46.51000
2014.9222,,,,,,47.11000
2014.9493,,,,,,53.01000
2014.9776,,,,,,48.21000
2015.0036,,,,,,44.31000
2015.0308,,,,,,46.31000
2015.0579,,,,,,45.11000
2015.0850,,,,,,47.81000
2015.1122,,,,,,45.71000
2015.1394,,,,,,46.01000
2015.1664,,,,,,46.01000
2015.1936,,,,,,44.01000
2015.2207,,,,,,43.91000
2015.2479,,,,,,45.41000
2015.2750,,,,,,44.61000
2015.3023,,,,,,44.21000
2015.3293,,,,,,44.41000
2015.3565,,,,,,41.71000
2015.3837,,,,,,41.41000
2015.4108,,,,,,43.41000
2015.4380,,,,,,43.21000
2015.4650,,,,,,45.61000
2015.4923,,,,,,47.11000
2015.5194,,,,,,46.61000
2015.5465,,,,,,48.51000
2015.5736,,,,,,49.31000
2015.6009,,,,,,51.81000
2015.6280,,,,,,50.61000
2015.6551,,,,,,55.31000
2015.6823,,,,,,58.21000
2015.7094,,,,,,57.81000
2015.7366,,,,,,58.81000
2015.7637,,,,,,61.31000
2015.7909,,,,,,61.71000
2015.8181,,,,,,63.01000
2015.8452,,,,,,61.21000
2015.8723,,,,,,58.21000
2015.8995,,,,,,60.21000
2015.9267,,,,,,59.41000
2015.9538,,,,,,56.11000
2015.9810,,,,,,54.81000
2016.0080,,,,,,51.91000
2016.0353,,,,,,53.61000
2016.0624,,,,,,57.11000
2016.0896,,,,,,52.11000
2016.1167,,,,,,52.81000
2016.1438,,,,,,52.91000
2016.1710,,,,,,52.81000
2016.1981,,,,,,50.11000
2016.2252,,,,,,53.31000
2016.2513,,,,,,50.51000
2016.2795,,,,,,49.71000
2016.3067,,,,,,49.31000
2016.3338,,,,,,47.81000
2016.3610,,,,,,48.41000
2016.3881,,,,,,47.11000
2016.4153,,,,,,48.81000
2016.4424,,,,,,50.61000
2016.4696,,,,,,53.51000
2016.4967,,,,,,51.31000
2016.5238,,,,,,51.41000
2016.5511,,,,,,51.61000
2016.5782,,,,,,52.41000
2016.6053,,,,,,53.51000
2016.6324,,,,,,52.71000
2016.6596,,,,,,59.21000
2016.6868,,,,,,62.21000
2016.7032,,,,,,59.41000
